index,year,month,day,content,likecount,nickname,user_id
1,2015,6,9,高中时代，夜自习前，班上几个漂亮女生总喜欢聚在教室后面唱燕姿的歌，真怀念那段时光。我总是很装逼，不搭理她们，特别是她，心里却决定要考相近的分数报同一所大学。成绩出来，我高出一本30她高出一本40，似乎有希望哦。可惜她最后选择了我永远都去不了的提前批。我的故事教育大家，提前批也要报啊…,2346,JAMFER1985,48900308
2,2015,4,16,前女友曾问我，问什么喜欢孙燕姿，是觉得自己必须有一个喜欢的女歌手，还是因为喜欢久了不远改变了？我觉得吧，是因为每次听她的歌总能引起共鸣，每一首歌……,630,伊巴斯典,42166429
3,2016,4,26,今天不知道是什么情况，一下子增加了150多个赞。虽然最终没有收获爱情，但她仍是我很好的朋友。因为喜欢所以努力，原本只有二本实力的我硬是上了一本。爱情让人成长，校园爱情不总是只有负能量。最后，谢谢大家！,572,JAMFER1985,48900308
4,2015,4,16,这首歌真是我很喜欢的一首歌，不卑不亢，有一些悲哀伤，节奏却是向上，这种感觉出不来。,515,爱风L,1958418
5,2015,6,30,星期一，天气不晴，我决定离开你。,385,莫默陌momo,38461731
6,2015,2,2,文字和歌的表达 难免会举重若轻 而在情绪里的人 难免会举轻若重,253,不熄灭的火火,47150689
7,2014,10,19,十年前的歌，我还是可以唱歌,148,haileychan722,38578440
8,2015,4,28,每当下雨的星期一，我总会想起这首歌。尽管我的分手从来不在星期一。[大哭][大哭][奸笑][奸笑],133,berlitz,35951479
9,2015,2,25,老大我爱你[亲亲][爱心][爱心],114,将往观乎四荒Zhang,41213820
10,2015,11,24,那年我12岁，认为这是世界上最好听的声音，认为不可能有比这个更好的曲，十几年了，还是会觉得那些年的自己真好。,102,章翔翔,66773366
11,2016,4,26,今天星期二，天气晴，我离开了你，还以为自己会很快地睡去，没想到还是默默的流泪，允许再给自己一年时间缓缓，2017继续加油,98,妍盐颜,108738059
12,2015,7,18,越来越喜欢孙燕姿，轮回吧，转了一圈又转回来了,96,有一点脚臭,65104363
13,2015,6,22,今天星期一 天气晴 可是我还没有找到你,57,eeekiM,2074106
14,2016,4,8,多少年以后，才知道这首歌的意义,49,花鸟风月泰勒猫,89667595
15,2015,10,26,我们的爱情从一开始就注定重重阻力，工作以及家庭的反对，奈何你还是会牵着我的手，走过一条又一条街道，纵容我的各种喜欢，你说你会一直爱我，陪着我，不会离开我。双城，不算遥远的异地，星期一，天气晴，空气冷，我们再次分开。,36,perfect笙歌,62218733
